                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.1553,                 1.0977,                  1.307,                0.80275,                0.62713,                0.72489,                0.50442,                 1.0748,                0.92906,                 1.2414,               0.006271,               0.006271,               0.006271
                    115,                 1.1552,                 1.0952,                 1.3054,                0.79933,                0.62904,                0.72523,                 0.5046,                 1.0745,                0.92926,                 1.2411,               0.006238,               0.006238,               0.006238
                    116,                  1.156,                 1.0963,                 1.3044,                0.80033,                0.62906,                0.72542,                0.50484,                 1.0739,                0.92881,                 1.2404,               0.006205,               0.006205,               0.006205
                    117,                 1.1553,                  1.096,                 1.3045,                0.79752,                0.63009,                0.72531,                0.50497,                 1.0735,                0.92863,                 1.2399,               0.006172,               0.006172,               0.006172
                    118,                 1.1542,                  1.094,                  1.303,                0.79615,                0.63055,                0.72564,                0.50554,                 1.0729,                0.92863,                 1.2392,               0.006139,               0.006139,               0.006139
                    119,                 1.1527,                 1.0946,                 1.3043,                0.79471,                0.63251,                0.72613,                0.50567,                 1.0723,                0.92813,                 1.2387,               0.006106,               0.006106,               0.006106
                    120,                 1.1523,                 1.0894,                 1.3009,                0.79638,                0.63022,                0.72607,                 0.5058,                 1.0718,                0.92782,                 1.2379,               0.006073,               0.006073,               0.006073
                    121,                  1.154,                 1.0947,                 1.3038,                0.79338,                0.63223,                0.72605,                0.50604,                 1.0716,                0.92779,                 1.2374,                0.00604,                0.00604,                0.00604
                    122,                 1.1519,                 1.0911,                 1.3025,                0.79684,                0.62919,                0.72637,                0.50634,                 1.0708,                0.92753,                 1.2366,               0.006007,               0.006007,               0.006007
                    123,                 1.1512,                  1.089,                 1.2997,                0.79842,                0.62978,                0.72639,                0.50672,                   1.07,                0.92737,                 1.2357,               0.005974,               0.005974,               0.005974
                    124,                 1.1507,                 1.0879,                 1.2974,                0.79812,                0.62978,                0.72696,                0.50664,                 1.0691,                0.92691,                  1.235,               0.005941,               0.005941,               0.005941
                    125,                 1.1485,                 1.0845,                 1.2992,                0.79865,                0.62912,                0.72678,                0.50639,                 1.0688,                 0.9266,                 1.2344,               0.005908,               0.005908,               0.005908
                    126,                 1.1496,                  1.091,                 1.2978,                0.79641,                0.63113,                0.72742,                0.50687,                 1.0682,                0.92579,                 1.2337,               0.005875,               0.005875,               0.005875
                    127,                 1.1447,                 1.0835,                 1.2952,                0.79524,                0.63194,                0.72818,                0.50738,                 1.0679,                0.92552,                 1.2328,               0.005842,               0.005842,               0.005842
                    128,                 1.1465,                 1.0865,                 1.2971,                 0.7974,                0.63059,                0.72816,                0.50791,                 1.0673,                0.92525,                 1.2321,               0.005809,               0.005809,               0.005809
                    129,                 1.1464,                 1.0833,                 1.2943,                0.79844,                0.63029,                0.72828,                0.50833,                 1.0667,                0.92447,                 1.2311,               0.005776,               0.005776,               0.005776
                    130,                 1.1461,                 1.0821,                 1.2945,                0.79884,                0.63048,                0.72804,                0.50897,                 1.0662,                0.92369,                 1.2303,               0.005743,               0.005743,               0.005743
                    131,                 1.1442,                 1.0799,                 1.2935,                0.80028,                0.62958,                0.72806,                0.50919,                 1.0654,                0.92314,                 1.2292,                0.00571,                0.00571,                0.00571
                    132,                 1.1431,                 1.0801,                 1.2923,                0.79862,                0.63057,                0.72827,                0.50948,                 1.0651,                 0.9228,                 1.2285,               0.005677,               0.005677,               0.005677
                    133,                 1.1418,                 1.0757,                 1.2894,                 0.7993,                0.63013,                 0.7284,                0.50998,                 1.0641,                0.92214,                 1.2274,               0.005644,               0.005644,               0.005644
                    134,                 1.1428,                  1.076,                 1.2893,                0.80246,                0.62786,                0.72887,                0.51027,                 1.0637,                0.92168,                 1.2266,               0.005611,               0.005611,               0.005611
                    135,                 1.1384,                 1.0735,                 1.2892,                0.80362,                0.62802,                0.72906,                0.51061,                  1.063,                0.92123,                 1.2256,               0.005578,               0.005578,               0.005578
                    136,                 1.1408,                 1.0752,                 1.2878,                0.80428,                0.62816,                0.72917,                0.51108,                  1.062,                0.92069,                 1.2245,               0.005545,               0.005545,               0.005545
                    137,                 1.1419,                 1.0742,                 1.2885,                 0.8046,                0.62827,                 0.7296,                0.51127,                 1.0614,                0.91966,                 1.2239,               0.005512,               0.005512,               0.005512
                    138,                 1.1412,                 1.0732,                 1.2868,                0.80499,                0.62883,                0.73023,                0.51151,                 1.0608,                0.91881,                 1.2231,               0.005479,               0.005479,               0.005479
                    139,                 1.1386,                 1.0708,                 1.2847,                0.80282,                0.63036,                0.73051,                0.51156,                 1.0602,                0.91811,                 1.2221,               0.005446,               0.005446,               0.005446
                    140,                 1.1409,                 1.0708,                 1.2842,                0.80202,                0.63109,                0.73089,                0.51204,                 1.0595,                 0.9175,                 1.2211,               0.005413,               0.005413,               0.005413
                    141,                 1.1392,                 1.0692,                 1.2831,                0.80363,                0.63046,                0.73091,                0.51237,                  1.059,                0.91669,                 1.2201,                0.00538,                0.00538,                0.00538
                    142,                 1.1353,                 1.0661,                 1.2812,                0.80471,                0.63046,                  0.731,                0.51283,                 1.0579,                0.91555,                 1.2189,               0.005347,               0.005347,               0.005347
                    143,                 1.1396,                 1.0683,                 1.2819,                 0.8075,                0.62952,                 0.7311,                0.51302,                 1.0572,                0.91482,                 1.2178,               0.005314,               0.005314,               0.005314
                    144,                 1.1368,                 1.0662,                 1.2798,                0.80758,                0.62927,                0.73119,                 0.5136,                 1.0562,                0.91392,                 1.2167,               0.005281,               0.005281,               0.005281
                    145,                  1.135,                 1.0643,                 1.2812,                0.80631,                0.62994,                0.73135,                0.51346,                 1.0558,                0.91317,                 1.2159,               0.005248,               0.005248,               0.005248
                    146,                 1.1353,                 1.0646,                 1.2808,                0.80599,                0.62976,                0.73169,                0.51376,                 1.0552,                0.91267,                  1.215,               0.005215,               0.005215,               0.005215
                    147,                 1.1322,                 1.0598,                 1.2771,                0.80598,                0.63079,                0.73196,                0.51444,                 1.0546,                0.91136,                 1.2143,               0.005182,               0.005182,               0.005182
                    148,                 1.1323,                 1.0604,                 1.2784,                0.80627,                0.63222,                0.73181,                 0.5146,                 1.0541,                 0.9106,                 1.2134,               0.005149,               0.005149,               0.005149
                    149,                 1.1333,                 1.0597,                  1.278,                0.80709,                0.63173,                0.73266,                0.51494,                 1.0535,                0.90982,                 1.2127,               0.005116,               0.005116,               0.005116
                    150,                 1.1324,                 1.0583,                 1.2767,                 0.8089,                0.63059,                0.73306,                0.51521,                 1.0527,                0.90913,                 1.2118,               0.005083,               0.005083,               0.005083
                    151,                 1.1298,                 1.0602,                 1.2763,                0.80517,                 0.6318,                0.73311,                0.51589,                 1.0518,                0.90833,                 1.2109,                0.00505,                0.00505,                0.00505
